open,close,high,low,volume,price_change,price_limit,volume_change,volume_limit,amplitude,difference,time
332.25,318.8951,335,316.11,344848,-12.8059,-0.038606757,-91525,-0.209740291,0.056948879,-0.040261862,2021/1/27 15:50
318.95,330.3501,331.75,315.11,293933,11.455,0.035920903,-50915,-0.147644759,0.052180168,0.035748746,2021/1/27 15:51
331.05,341.1301,342,330.55,413483,10.78,0.032632047,119550,0.406725342,0.034660198,0.030513386,2021/1/27 15:52
341.7149,349.62,350,341.3219,695419,8.4899,0.024887572,281936,0.681856328,0.025439268,0.02317327,2021/1/27 15:53
349.98,337.3068,350,337.0806,473282,-12.3132,-0.035218809,-222137,-0.319429006,0.036952691,-0.036248498,2021/1/27 15:54
337.3072,349.0262,350,337,400948,11.7194,0.034744037,-72334,-0.152834885,0.038540581,0.034742851,2021/1/27 15:55
348.62,355.18,358,341.81,527839,6.1538,0.017631341,126891,0.316477448,0.046386203,0.018795151,2021/1/27 15:56
355.0796,377.36,380,355.0796,824933,22.18,0.06244721,297094,0.562849657,0.070162734,0.062729883,2021/1/27 15:57
377.6,366.67,379.98,355,586706,-10.69,-0.028328387,-238227,-0.288783453,0.066196735,-0.028964384,2021/1/27 15:58
368.01,371.82,379.14,366.66,500854,5.15,0.014045327,-85852,-0.146328826,0.034036054,0.010390815,2021/1/27 15:59
371.182,370.13,378.7507,368.2,458162,-1.69,-0.00454521,-42692,-0.085238413,0.028375827,-0.002829326,2021/1/27 16:00
370.03,342.89,375,331.9767,596766,-27.24,-0.073595764,138604,0.302521815,0.116238349,-0.073325588,2021/1/27 16:01
342.97,365.03,370,341.752,392991,22.14,0.064568812,-203775,-0.341465499,0.082382105,0.064335501,2021/1/27 16:02
365.5325,358,371.01,355,270533,-7.03,-0.019258691,-122458,-0.3116051,0.043859409,-0.02063529,2021/1/27 16:03
359.94,368.0889,370,359.5266,351640,10.0889,0.028181285,81107,0.29980446,0.029255307,0.022762291,2021/1/27 16:04
368.7013,375.985,377.9994,368,426470,7.8961,0.021451611,74830,0.212802867,0.02716572,0.019787883,2021/1/27 16:05
375.73,377.52,380,375.69,391236,1.535,0.00408261,-35234,-0.082617769,0.011463223,0.004760828,2021/1/27 16:06
378.65,367.59,378.65,351.43,425618,-9.93,-0.026303242,34382,0.087880461,0.07210214,-0.029296461,2021/1/27 16:07
367.12,363.4316,370.33,360,285150,-4.1584,-0.011312604,-140468,-0.330033034,0.028101961,-0.010034005,2021/1/27 16:08
364.8358,369.17,370,363.01,186741,5.7384,0.015789491,-98409,-0.345113098,0.01923333,0.011925765,2021/1/27 16:09
369.4477,363.095,370,361.2,195110,-6.075,-0.016455833,8369,0.044816082,0.023837257,-0.017208061,2021/1/27 16:10
361.5,364.6429,367.78,361.2,183624,1.5479,0.004263072,-11486,-0.058869356,0.018121979,0.008655861,2021/1/27 16:11
364.6139,368.68,369,362,222647,4.0371,0.01107138,39023,0.212515793,0.019196864,0.01115091,2021/1/27 16:12
368.95,359.0129,369,357.0675,201993,-9.6671,-0.026220842,-20654,-0.092765678,0.032365466,-0.026953184,2021/1/27 16:13
357.9901,351.695,362.9999,342.0001,410580,-7.3179,-0.02038339,208587,1.032644696,0.058493163,-0.017534467,2021/1/27 16:14
352.5788,347.59,352.8,340,285478,-4.105,-0.011672045,-125102,-0.304695796,0.036395172,-0.014185018,2021/1/27 16:15
348.05,348.01,349.5999,342,193614,0.42,0.00120832,-91864,-0.32179012,0.021864553,-0.000115078,2021/1/27 16:16
348.21,338.99,348.51,335,220230,-9.02,-0.025918795,26616,0.137469398,0.038820724,-0.026493492,2021/1/27 16:17
338.68,349.985,350,337.46,258167,10.995,0.032434585,37937,0.172260818,0.036992242,0.033349066,2021/1/27 16:18
349.545,347.4395,350,341.4,178105,-2.5455,-0.007273169,-80062,-0.310117095,0.024572482,-0.006015972,2021/1/27 16:19
347.3306,348.67,350,345.6568,174843,1.2305,0.003541624,-3262,-0.018315039,0.012500594,0.00385506,2021/1/27 16:20
348,352.075,362.91,347.2,333734,3.405,0.009765681,158891,0.908763862,0.045056931,0.011687269,2021/1/27 16:21
351.3,355.7253,363.9099,350.12,219270,3.6503,0.010367961,-114464,-0.342979738,0.039167507,0.012569197,2021/1/27 16:22
355.53,348.2224,356.8899,348,202618,-7.5029,-0.021091837,-16652,-0.075942901,0.024990913,-0.020542818,2021/1/27 16:23
348.2224,355.1,357.01,348.1,146187,6.8776,0.019750596,-56431,-0.278509313,0.025587096,0.019750596,2021/1/27 16:24
355.1,359.1929,363.4599,355.1,200176,4.0929,0.011526049,53989,0.369314645,0.023542382,0.011526049,2021/1/27 16:25
359.4736,371.89,372,358,304133,12.6971,0.035348973,103957,0.519327991,0.038976272,0.034567498,2021/1/27 16:26
371.88,370.6801,375,363,303108,-1.2099,-0.003253381,-1025,-0.003370236,0.032267606,-0.003226492,2021/1/27 16:27
370.68,369.69,372.8699,366.0901,175067,-0.9901,-0.002671036,-128041,-0.42242699,0.018290164,-0.002670767,2021/1/27 16:28
370.33,362.364,370.33,355.01,215488,-7.326,-0.019816603,40421,0.230888745,0.041440126,-0.021547783,2021/1/27 16:29
363.53,362.7,367.9999,356.5701,145665,0.336,0.000927244,-69823,-0.324022683,0.031542317,-0.002290515,2021/1/27 16:30
363.8114,367.495,367.97,362.4201,115112,4.795,0.013220292,-30553,-0.209748395,0.015301627,0.010156052,2021/1/27 16:31
367.21,370.27,372,366,227263,2.775,0.007551123,112151,0.974277226,0.016326753,0.008326644,2021/1/27 16:32
370.8655,369.5,370.9999,363.06,159994,-0.77,-0.002079564,-67269,-0.295996269,0.021443541,-0.003687849,2021/1/27 16:33
368.625,370.935,373.45,365,251356,1.435,0.003883627,91362,0.571033914,0.022868742,0.006251691,2021/1/27 16:34
370.3201,372.95,380,368,624167,2.015,0.005432219,372811,1.483199128,0.032350681,0.007089921,2021/1/27 16:35
372.9,366.0206,373.9999,360,385025,-6.9294,-0.018579971,-239142,-0.383137846,0.037538276,-0.018445904,2021/1/27 16:36
366.185,365.28,370,364.3,177116,-0.7406,-0.002023383,-207909,-0.539988312,0.015572894,-0.002472538,2021/1/27 16:37
365.1778,362,368.75,360,235212,-3.28,-0.008979413,58096,0.328011021,0.023954227,-0.008699628,2021/1/27 16:38
361.17,363.6926,367,361,122728,1.6926,0.004675691,-112484,-0.4782239,0.016574586,0.006968508,2021/1/27 16:39
364,365.1999,367.09,362.43,122947,1.5073,0.004144434,219,0.001784434,0.012813018,0.003299215,2021/1/27 16:40
364.8,353.76,364.93,350,410024,-11.4399,-0.031325036,287077,2.334965473,0.04088172,-0.030230019,2021/1/27 16:41
354.465,355.062,361.9899,353.76,187036,1.302,0.003680461,-222988,-0.543841336,0.023264077,0.001687585,2021/1/27 16:42
355.81,360.48,363.67,355.45,177387,5.418,0.015259307,-9649,-0.051588999,0.023150886,0.013152632,2021/1/27 16:43
361.1586,350,361.1945,350,219164,-10.48,-0.029072348,41777,0.235513313,0.031054427,-0.030954838,2021/1/27 16:44
350,354.9864,359,350,114305,4.9864,0.014246857,-104859,-0.478449928,0.025714286,0.014246857,2021/1/27 16:45
354.2925,357.0692,359,354.2925,118184,2.0828,0.005867267,3879,0.033935523,0.013261071,0.00782199,2021/1/27 16:46
